lon,lat,tile_ID,comm_ID,geometry
113.803537169,22.3988432348,0,-1.0,"POLYGON ((113.808479708 22.403270609,113.808412781501 22.3999412855888,113.806947999551 22.400478999906,113.805157999742 22.401330999626,113.803760999171 22.4022149999224,113.802766999198 22.4028159997586,113.801665999686 22.4032269998262,113.801580179746 22.4033903511548,113.808479708 22.403270609))"
113.813240804,22.3986745674,1,-1.0,"POLYGON ((113.818183609 22.4031016130001,113.818069965972 22.3974677900582,113.816935999697 22.3979360004461,113.815153999358 22.3985780003744,113.814108999731 22.3989539997274,113.813981093653 22.3989382301153,113.812648999851 22.3987740004199,113.810837999974 22.3990509997039,113.808412781501 22.3999412855888,113.808479708 22.403270609,113.818183609 22.4031016130001))"
113.822944347,22.3985053186,2,-1.0,"POLYGON ((113.822031979607 22.4030343615518,113.822280999768 22.4020979999228,113.822406999284 22.4003350004599,113.822652999836 22.3989719996581,113.822473999675 22.3980130003997,113.821758999978 22.3973910004944,113.820548999937 22.397034000219,113.81870399939 22.3972060000569,113.818069965972 22.3974677900582,113.818183609 22.4031016130001,113.822031979607 22.4030343615518))"
113.784309491,22.4082022304,3,-1.0,"POLYGON ((113.789251856 22.412630217,113.789250439511 22.4125592989615,113.788924954825 22.4126358533218,113.789251856 22.412630217))"
113.794013937,22.4080346501,4,-1.0,"POLYGON ((113.798956568 22.412462309,113.798878398955 22.4085622479087,113.79882600002 22.4085899998286,113.797296999657 22.4094920000559,113.795449999918 22.4103799996373,113.793148999926 22.4113759997026,113.791249999588 22.4120890002072,113.789250439511 22.4125592989615,113.789251856 22.412630217,113.798956568 22.412462309))"
113.803718289,22.4078664886,5,-1.0,"POLYGON ((113.808661187 22.4122938190001,113.808479708 22.403270609,113.801580179746 22.4033903511548,113.801306115285 22.4039120107308,113.80116899925 22.4041730002838,113.801182999896 22.4056390004396,113.801281999964 22.4067719996281,113.800732999828 22.407580000017,113.800225072629 22.407849012422,113.798878398955 22.4085622479087,113.798956568 22.412462309,113.808661187 22.4122938190001))"
113.813422549,22.4076977459,6,-1.0,"POLYGON ((113.81586751051 22.4121682713616,113.815987 22.4113300002793,113.81662099956 22.4095269998712,113.818114999208 22.4078920000158,113.818278068184 22.4077820042322,113.818183609 22.4031016130001,113.808479708 22.403270609,113.808661187 22.4122938190001,113.81586751051 22.4121682713616))"
113.823126717,22.407528422,7,-1.0,"POLYGON ((113.822031979607 22.4030343615518,113.818183609 22.4031016130001,113.818278068184 22.4077820042322,113.820105999293 22.4065490001363,113.82135 22.4050900003033,113.821783110802 22.4039120107308,113.82183900007 22.4037600001239,113.822031979607 22.4030343615518))"
113.784489454,22.4172256222,8,-1.0,"POLYGON ((113.789251856 22.412630217,113.788924954825 22.4126358533218,113.788715999644 22.4126849998129,113.786995999466 22.4130650002496,113.786469051605 22.4132650391503,113.786102999654 22.4134039996948,113.785676999794 22.4138440002006,113.785373999311 22.4145789999209,113.785179999358 22.4154529997562,113.785183999542 22.4159419998235,113.785319999518 22.4164469997293,113.785470999287 22.4166659999361,113.786469051605 22.4171692254794,113.786777999305 22.417324999749,113.787906000062 22.4172990003487,113.78863899969 22.4172760001873,113.789352208028 22.4176518804202,113.789251856 22.412630217))"
113.794194524,22.4170579674,9,-1.0,"POLYGON ((113.799137514 22.4214855830001,113.798956568 22.412462309,113.789251856 22.412630217,113.789352208028 22.4176518804202,113.789382854136 22.4176680317543,113.789452999456 22.4177050001856,113.78986499957 22.417857,113.790011 22.4179099997468,113.790933999405 22.4177979999778,113.791120754419 22.4176680317543,113.791719999678 22.4172509999337,113.792417999491 22.4164950001442,113.793016999235 22.4159140003309,113.793642999325 22.4157000003548,113.795281999365 22.4161749997764,113.796351999245 22.416847000189,113.796802660315 22.4176680317543,113.797047999865 22.4181150002071,113.797328999334 22.4194220002252,113.797257999657 22.42057400029,113.797291898951 22.421517527481,113.799137514 22.4214855830001))"
